"method","path","operationId","tags","status","http_status","evidence","notes"
"GET","/health","AppController_health","system","TODO","","",""
"POST","/auth/login","AuthController_login","auth","TODO","","",""
"POST","/auth/logout","AuthController_logout","auth","TODO","","",""
"GET","/auth/me","AuthController_me","auth","TODO","","",""
"GET","/audit-logs","AuditController_list","audit","TODO","","",""
"GET","/companies","OrgController_listCompanies","org","TODO","","",""
"POST","/companies","OrgController_createCompany","org","TODO","","",""
"GET","/companies/{id}","OrgController_getCompany","org","TODO","","",""
"PATCH","/companies/{id}","OrgController_updateCompany","org","TODO","","",""
"GET","/legal-entities","OrgController_listLegalEntities","org","TODO","","",""
"POST","/legal-entities","OrgController_createLegalEntity","org","TODO","","",""
"GET","/business-sites","OrgController_listBusinessSites","org","TODO","","",""
"POST","/business-sites","OrgController_createBusinessSite","org","TODO","","",""
"GET","/departments","OrgController_listDepartments","org","TODO","","",""
"POST","/departments","OrgController_createDepartment","org","TODO","","",""
"GET","/departments/tree","OrgController_listDepartmentTree","org","TODO","","",""
"PATCH","/departments/{id}","OrgController_updateDepartment","org","TODO","","",""
"DELETE","/departments/{id}","OrgController_deleteDepartment","org","TODO","","",""
"GET","/employees","EmployeeController_listEmployees","employee","TODO","","",""
"POST","/employees","EmployeeController_createEmployee","employee","TODO","","",""
"GET","/employees/{id}","EmployeeController_getEmployee","employee","TODO","","",""
"PATCH","/employees/{id}","EmployeeController_updateEmployee","employee","TODO","","",""
"DELETE","/employees/{id}","EmployeeController_deleteEmployee","employee","TODO","","",""
"GET","/positions","EmployeeController_listPositions","employee","TODO","","",""
"POST","/positions","EmployeeController_createPosition","employee","TODO","","",""
"GET","/job-titles","EmployeeController_listJobTitles","employee","TODO","","",""
"POST","/job-titles","EmployeeController_createJobTitle","employee","TODO","","",""
"POST","/files/upload","FilesController_upload","files","TODO","","",""
"GET","/files","FilesController_list","files","TODO","","",""
"GET","/files/{id}","FilesController_getMetadata","files","TODO","","",""
"GET","/files/{id}/download","FilesController_download","files","TODO","","",""
"GET","/document-templates","DocumentsController_listTemplates","documents","TODO","","",""
"GET","/documents","DocumentsController_listDocuments","documents","TODO","","",""
"POST","/documents","DocumentsController_createDocument","documents","TODO","","",""
"GET","/documents/{id}","DocumentsController_getDocument","documents","TODO","","",""
"POST","/documents/{id}/versions","DocumentsController_addVersion","documents","TODO","","",""
"POST","/documents/{id}/render-pdf","DocumentsController_renderPdf","documents","TODO","","",""
"POST","/approvals/lines","ApprovalsController_configureLine","approvals","TODO","","",""
"GET","/approvals/lines/{id}","ApprovalsController_getLine","approvals","TODO","","",""
"POST","/approvals/lines/{id}/submit","ApprovalsController_submit","approvals","TODO","","",""
"POST","/approvals/lines/{id}/approve","ApprovalsController_approve","approvals","TODO","","",""
"POST","/approvals/lines/{id}/reject","ApprovalsController_reject","approvals","TODO","","",""
"POST","/approvals/lines/{id}/cancel","ApprovalsController_cancel","approvals","TODO","","",""
"POST","/approvals/lines/{id}/resubmit","ApprovalsController_resubmit","approvals","TODO","","",""
"GET","/approvals/inbox","ApprovalsController_listInbox","approvals","TODO","","",""
"GET","/signatures/mine","SignaturesController_listMine","signatures","TODO","","",""
"POST","/signatures","SignaturesController_create","signatures","TODO","","",""
"GET","/attendance/raw-events","AttendanceController_listRawEvents","attendance","TODO","","",""
"GET","/attendance/ledgers","AttendanceController_listLedgers","attendance","TODO","","",""
"GET","/attendance/shift-policies","AttendanceController_listShiftPolicies","attendance","TODO","","",""
"POST","/attendance/shift-policies","AttendanceController_createShiftPolicy","attendance","TODO","","",""
"PATCH","/attendance/shift-policies/{id}","AttendanceController_updateShiftPolicy","attendance","TODO","","",""
"GET","/leave/policies","LeaveController_listLeavePolicies","leave","TODO","","",""
"GET","/leave/requests","LeaveController_listLeaveRequests","leave","TODO","","",""
"POST","/leave/requests","LeaveController_createLeaveRequest","leave","TODO","","",""
"GET","/attendance-corrections","LeaveController_listAttendanceCorrections","leave","TODO","","",""
"POST","/attendance-corrections","LeaveController_createAttendanceCorrection","leave","TODO","","",""
"GET","/expenses/claims","ExpensesController_listClaims","expenses","TODO","","",""
"POST","/expenses/claims","ExpensesController_createClaim","expenses","TODO","","",""
"GET","/expenses/claims/{id}","ExpensesController_getClaim","expenses","TODO","","",""
"GET","/finance/accounts","FinanceController_listAccounts","finance","TODO","","",""
"GET","/finance/vendors","FinanceController_listVendors","finance","TODO","","",""
"POST","/finance/vendors","FinanceController_createVendor","finance","TODO","","",""
"GET","/finance/cost-centers","FinanceController_listCostCenters","finance","TODO","","",""
"POST","/finance/cost-centers","FinanceController_createCostCenter","finance","TODO","","",""
"GET","/finance/projects","FinanceController_listProjects","finance","TODO","","",""
"POST","/finance/projects","FinanceController_createProject","finance","TODO","","",""
"GET","/finance/journal-entries","FinanceController_listJournalEntries","finance","TODO","","",""
"POST","/finance/journal-entries","FinanceController_createJournalEntry","finance","TODO","","",""
"GET","/finance/journal-entries/{id}","FinanceController_getJournalEntry","finance","TODO","","",""
"GET","/import-export/import-jobs","ImportExportController_listImportJobs","import-export","TODO","","",""
"GET","/import-export/import-jobs/{id}","ImportExportController_getImportJob","import-export","TODO","","",""
"POST","/import-export/import-jobs/vendors","ImportExportController_createVendorImportJob","import-export","TODO","","",""
"GET","/import-export/export-jobs","ImportExportController_listExportJobs","import-export","TODO","","",""
"GET","/import-export/export-jobs/{id}","ImportExportController_getExportJob","import-export","TODO","","",""
"POST","/import-export/export-jobs/expense-claims","ImportExportController_createExpenseClaimExportJob","import-export","TODO","","",""
"POST","/integrations/attendance/raw","IntegrationsController_ingestRawAttendance","integrations","TODO","","",""
"POST","/integrations/attendance/raw/batch","IntegrationsController_ingestRawAttendanceBatch","integrations","TODO","","",""
"POST","/integrations/attendance/raw/csv","IntegrationsController_importRawAttendanceCsv","integrations","TODO","","",""
